customer_id,order_date,order_id,order_status,required_date,shipped_date,staff_name,store,order_status_name
259,2016-01-01,1,4,2016-01-03,2016-01-03,Mireya,Santa Cruz Bikes,Completed
1212,2016-01-01,2,4,2016-01-04,2016-01-03,Marcelene,Baldwin Bikes,Completed
523,2016-01-02,3,4,2016-01-05,2016-01-03,Venita,Baldwin Bikes,Completed
175,2016-01-03,4,4,2016-01-04,2016-01-05,Genna,Santa Cruz Bikes,Completed
1324,2016-01-03,5,4,2016-01-06,2016-01-06,Marcelene,Baldwin Bikes,Completed
94,2016-01-04,6,4,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,Completed
324,2016-01-04,7,4,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,Completed
1204,2016-01-04,8,4,2016-01-05,2016-01-05,Venita,Baldwin Bikes,Completed
60,2016-01-05,9,4,2016-01-08,2016-01-08,Mireya,Santa Cruz Bikes,Completed
442,2016-01-05,10,4,2016-01-06,2016-01-06,Marcelene,Baldwin Bikes,Completed
1326,2016-01-05,11,4,2016-01-08,2016-01-07,Venita,Baldwin Bikes,Completed
91,2016-01-06,12,4,2016-01-08,2016-01-09,Mireya,Santa Cruz Bikes,Completed
873,2016-01-08,13,4,2016-01-11,2016-01-11,Marcelene,Baldwin Bikes,Completed
258,2016-01-09,14,4,2016-01-11,2016-01-12,Genna,Santa Cruz Bikes,Completed
450,2016-01-09,15,4,2016-01-10,2016-01-12,Venita,Baldwin Bikes,Completed
552,2016-01-12,16,4,2016-01-15,2016-01-15,Genna,Santa Cruz Bikes,Completed
1175,2016-01-12,17,4,2016-01-14,2016-01-14,Genna,Santa Cruz Bikes,Completed
541,2016-01-14,18,4,2016-01-17,2016-01-15,Genna,Santa Cruz Bikes,Completed
696,2016-01-14,19,4,2016-01-17,2016-01-16,Mireya,Santa Cruz Bikes,Completed
923,2016-01-14,20,4,2016-01-16,2016-01-17,Mireya,Santa Cruz Bikes,Completed
1250,2016-01-15,21,4,2016-01-16,2016-01-18,Marcelene,Baldwin Bikes,Completed
1035,2016-01-16,22,4,2016-01-18,2016-01-17,Mireya,Santa Cruz Bikes,Completed
1149,2016-01-16,23,4,2016-01-19,2016-01-19,Mireya,Santa Cruz Bikes,Completed
636,2016-01-18,24,4,2016-01-20,2016-01-19,Venita,Baldwin Bikes,Completed
657,2016-01-18,25,4,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,Completed
1280,2016-01-18,26,4,2016-01-21,2016-01-19,Venita,Baldwin Bikes,Completed
57,2016-01-19,27,4,2016-01-21,2016-01-20,Venita,Baldwin Bikes,Completed
252,2016-01-19,28,4,2016-01-20,2016-01-21,Marcelene,Baldwin Bikes,Completed
437,2016-01-20,29,4,2016-01-22,2016-01-21,Marcelene,Baldwin Bikes,Completed
1348,2016-01-20,30,4,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,Completed
1238,2016-01-20,31,4,2016-01-22,2016-01-22,Kali,Rowlett Bikes,Completed
1259,2016-01-21,32,4,2016-01-24,2016-01-22,Genna,Santa Cruz Bikes,Completed
236,2016-01-21,33,4,2016-01-22,2016-01-22,Marcelene,Baldwin Bikes,Completed
80,2016-01-22,34,4,2016-01-25,2016-01-23,Marcelene,Baldwin Bikes,Completed
813,2016-01-22,35,4,2016-01-25,2016-01-24,Venita,Baldwin Bikes,Completed
1321,2016-01-23,36,4,2016-01-24,2016-01-24,Marcelene,Baldwin Bikes,Completed
164,2016-01-25,37,4,2016-01-28,2016-01-26,Marcelene,Baldwin Bikes,Completed
583,2016-01-25,38,4,2016-01-27,2016-01-26,Venita,Baldwin Bikes,Completed
1296,2016-01-25,39,4,2016-01-26,2016-01-26,Venita,Baldwin Bikes,Completed
348,2016-01-27,40,4,2016-01-28,2016-01-29,Genna,Santa Cruz Bikes,Completed
979,2016-01-27,41,4,2016-01-30,2016-01-29,Marcelene,Baldwin Bikes,Completed
1095,2016-01-27,42,4,2016-01-28,2016-01-30,Venita,Baldwin Bikes,Completed
1434,2016-01-27,43,4,2016-01-28,2016-01-30,Venita,Baldwin Bikes,Completed
861,2016-01-28,44,4,2016-01-31,2016-01-30,Venita,Baldwin Bikes,Completed
1220,2016-01-28,45,4,2016-01-31,2016-01-31,Venita,Baldwin Bikes,Completed
746,2016-01-29,46,4,2016-01-31,2016-01-31,Venita,Baldwin Bikes,Completed
1234,2016-01-29,47,4,2016-01-30,2016-01-31,Venita,Baldwin Bikes,Completed
1012,2016-01-30,48,4,2016-02-01,2016-02-02,Venita,Baldwin Bikes,Completed
608,2016-01-31,49,4,2016-02-01,2016-02-02,Marcelene,Baldwin Bikes,Completed
