2025-10-30 16:25:26 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:25:54 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:26:30 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:26:30 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\brands.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\brands.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\categories.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\categories.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\stores.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\stores.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\staffs.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\staffs.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\products.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\products.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\stocks.csv
2025-10-30 16:26:30 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: [CSV_FILE_NOT_FOUND] CSV file not found: C:\Users\SPAC-O-3\Kode_opgaver\Python\ETL\tests\..\src\data\CSV\stocks.csv (Operation: read_csv_file) (Component: database_manager)
2025-10-30 16:26:30 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:27:04 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:27:04 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:27:48 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:27:48 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:27:48 | INFO     | no-corre | etl.database         | API data export functionality - placeholder implementation
2025-10-30 16:27:48 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:31:02 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:31:02 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:31:02 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:34:33 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: PandasOptimizer.__init__() got an unexpected keyword argument 'optimize_dtypes'. Did you mean 'auto_optimize_dtypes'?
2025-10-30 16:34:33 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read brands.csv: (9, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read categories.csv: (7, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read stores.csv: (3, 7) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read staffs.csv: (10, 8) shape, 0.00MB memory, 2 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read products.csv: (321, 6) shape, 0.03MB memory, 0 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Read stocks.csv: (939, 3) shape, 0.00MB memory, 1 categorical columns
2025-10-30 16:35:37 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: 'DatabaseManager' object has no attribute 'validate_dataframe'
2025-10-30 16:35:37 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read brands.csv: (9, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file brands.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read categories.csv: (7, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file categories.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read stores.csv: (3, 7) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file stores.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read staffs.csv: (10, 8) shape, 0.00MB memory, 2 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file staffs.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read products.csv: (321, 6) shape, 0.03MB memory, 0 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file products.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Read stocks.csv: (939, 3) shape, 0.00MB memory, 1 categorical columns
2025-10-30 16:36:29 | ERROR    | no-corre | etl.database         | Error reading CSV file stocks.csv: 'BatchProcessor' object has no attribute 'data_validator'
2025-10-30 16:36:29 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read brands.csv: (9, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'brands': (9, 2)
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read categories.csv: (7, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'categories': (7, 2)
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read stores.csv: (3, 7) shape, 0.00MB memory, 0 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'stores': (3, 7)
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validation passed: all 15 rules successful
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading staffs.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read staffs.csv: (10, 8) shape, 0.00MB memory, 2 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'staffs': (10, 8)
2025-10-30 16:37:21 | WARNING  | no-corre | etl.database         | Validation found issues: 2 failed rules
2025-10-30 16:37:21 | WARNING  | no-corre | etl.database         | Error-level validation failures: 1
2025-10-30 16:37:21 | WARNING  | no-corre | etl.database         |   - manager_id_data_type: Invalid data type in manager_id, expected float
2025-10-30 16:37:21 | WARNING  | no-corre | etl.database         | Data validation found 2 issues in staffs.csv
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Applied automatic fixes to staffs.csv: {'manager_id_range': np.int64(1)}
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading products.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read products.csv: (321, 6) shape, 0.03MB memory, 0 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'products': (321, 6)
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validation passed: all 17 rules successful
2025-10-30 16:37:21 | DEBUG    | no-corre | etl.database         | Reading stocks.csv with pandas optimization
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Read stocks.csv: (939, 3) shape, 0.00MB memory, 1 categorical columns
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'stocks': (939, 3)
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Validation passed: all 9 rules successful
2025-10-30 16:37:21 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 16:37:30 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 16:37:30 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 16:37:30 | INFO     | no-corre | etl.database         | API data export functionality - placeholder implementation
2025-10-30 16:37:30 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 17:24:16 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 17:24:16 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 17:24:16 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 17:24:46 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 17:24:46 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 17:24:46 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 17:24:46 | INFO     | no-corre | etl.database         | Read brands.csv: (9, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 17:24:46 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'brands': (9, 2)
2025-10-30 17:24:46 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 17:24:46 | INFO     | no-corre | etl.database         | Database connections closed
2025-10-30 17:48:45 | DEBUG    | no-corre | etl.database         | Setting up standard validation rules for ETL data
2025-10-30 17:48:45 | DEBUG    | no-corre | etl.database         | Validation rules will be created dynamically per table
2025-10-30 17:48:45 | DEBUG    | no-corre | etl.database         | Reading brands.csv with pandas optimization
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Read brands.csv: (9, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'brands': (9, 2)
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'brands': (9, 2)
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 17:48:45 | DEBUG    | no-corre | etl.database         | Reading categories.csv with pandas optimization
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Read categories.csv: (7, 2) shape, 0.00MB memory, 0 categorical columns
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'categories': (7, 2)
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Validating DataFrame for table 'categories': (7, 2)
2025-10-30 17:48:45 | INFO     | no-corre | etl.database         | Validation passed: all 5 rules successful
2025-10-30 17:48:45 | DEBUG    | no-corre | etl.database         | Reading stores.csv with pandas optimization
